iupac_name,cid,molecularweight_pubchem,tpsa_pubchem,hbonddonorcount_pubchem,hbondacceptorcount_pubchem,boiling_point_pubchem_raw,water_solubility_pubchem_raw,dissociation_constants_pubchem_raw
Pentane-1-thiol,8067,104.22,1,1,1,"248 °F at 760 mmHg (USCG, 1999); 126.6 °C; BP: 123-124 °C; at 61.3kPa: 126.6 °C; 124-126 °C; 260 °F","Insoluble (NIOSH, 2024); In water, 156 mg/L at 20 °C; In water, 156 mg/L at 25 °C; Insoluble in water; Miscible with ethanol, ether; 0.156 mg/mL at 20 °C; Solubility in water: none; Sparingly soluble in water; Soluble (in ethanol); Insoluble",
Hexane-1-thiol,8106,118.24,1,1,1,"304 °F at 760 mmHg (NIOSH, 2024); 150.00 to 154.00 °C. @ 760.00 mm Hg; 151 °C; 150-154 °C; 151.11 °C @760 [mm Hg]; 304 °F","Insoluble (NIOSH, 2024); Solubility in water: none; soluble in oil and alcohol; (in ethanol); Insoluble",
Propanal,527,58.08,17.1,0,1,"120 °F at 760 mmHg (NTP, 1992); 48 °C; 49 °C; 49 °C; 120 °F; 48 °C @760 [mm Hg]","50 to 100 mg/mL at 64 °F (NTP, 1992); Soluble in water; miscible with ethanol, ethyl ether; SOL IN CHLOROFORM; In water, 3.06X10+5 mg/L at 25 °C; 306 mg/mL at 25 °C; Solubility in water, g/100ml: 20; miscible with  alcohol, ether, water; (in ethanol)",
Butanal,261,72.11,17.1,0,1,"167 °F at 760 mmHg (NTP, 1992); 74.8 °C; 74.00 to 75.00 °C. @ 760.00 mm Hg; 74.8 °C; 74.8 °C; 74.7 °C @760 [mm Hg]","less than 1 mg/mL at 66 °F (NTP, 1992); Miscible with ethanol, ether, ethyl acetate, acetone, toluene, many other organic solvents andoils; Soluble in water; miscible with ethanol; very olubl ein acetone, benzene; slightly soluble in chloroform; In water, 7.10X10+4 mg/L at 25 °C; 71 mg/mL at 25 °C; Solubility in water, g/100ml: 7; soluble in  1 ml in 15 ml water;  miscible with  alcohol, ether; (in ethanol)",
Pentanal,8063,86.13,17.1,0,1,"216 to 217 °F at 760 mmHg (NTP, 1992); 103 °C; 102.00 to 103.00 °C. @ 760.00 mm Hg; 103 °C; 103 °C; 217 °F; 217 °F","less than 1 mg/mL at 68 °F (NTP, 1992); Soluble in ethanol, ethyl ether; SOL IN PROPYLENE GLYCOL; OILS; 1.35% in water; In water, 1.17X10+4 mg/L at 20 °C; 11.7 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 1.4 (moderate); 1 ml in 1 ml 95% alcohol (in ethanol); Slight",
Hexanal,6184,100.16,17.1,0,1,"262 °F at 760 mmHg (USCG, 1999); 129.6 °C; 130.00 to 131.00 °C. @ 760.00 mm Hg; 131 °C; 131 °C @760 [mm Hg]","In water, 5.64X10+3 mg/L at 30 °C; In water, 0.6 wt% (6000 mg/L) at 20 °C; Very soluble in ethanol, ethyl ether; soluble in acetone, benzene; Miscible with alcohol, propylene glycol and most fixed oils; 5.64 mg/mL at 30 °C; very slightly soluble in  water;  miscible with  alcohol, propylene glycol, most fixed oils; (in ethanol)",
Propanoic acid,1032,74.08,37.3,1,2,"285.3 °F at 760 mmHg (NTP, 1992); 141.1 °C; 141 °C; 138.5-142.5 °C; 286 °F; 141.1 °C @760 [mm Hg]; 286 °F","greater than or equal to 100 mg/mL at 72 °F (NTP, 1992); For more Solubility (Complete) data for PROPIONIC ACID (6 total), please visit the HSDB record page.; Sol in alcohol, ether, chloroform.; Miscible with ethanol; soluble in diethyl ether; slightly soluble in chloroform; In water, 1.0X10+6 mg/L at 25 °C /miscible/; 1000.0 mg/mL; Solubility in water: very soluble; miscible with water, alcohol, organic solvents; (in ethanol); Miscible",4.874; 4.88; pKa= 4.88
Butanoic acid,264,88.11,37.3,1,2,"326.3 °F at 760 mmHg (NTP, 1992); 163.5 °C; 164 °C; 164 °C; 163.5 °C @760 [mm Hg]","greater than or equal to 100 mg/mL at 66 °F (NTP, 1992); Miscible with ethanol, ether; slightly soluble in carbon tetrachloride; In water, 6.00X10+4 mg/L at 25 °C; 60.0 mg/mL; Solubility in water: miscible; miscible with  alcohol, most fixed oils, propylene glycol, water; (in ethanol)",4.82 (at 25 °C); pKa = 4.82 at 25 °C
Pentanoic acid,7991,102.13,37.3,1,2,"365 °F at 760 mmHg (NTP, 1992); 186-187 °C; 186-187 °C; 186 °C; 186.4 °C @760 [mm Hg]","10 to 50 mg/mL at 72 °F (NTP, 1992); Freely soluble in alcohol, ether; Soluble in oxygenated solvents.; Slightly soluble in carbon tetrachloride; In water, 2.4X10+4 mg/L at 25 °C; 24.0 mg/mL; Solubility in water, g/100ml: 2.4; miscible with  alcohol, ether, 1 ml in 40 ml water; (in ethanol)","4.84 (at 25 °C); In water, pKa = 4.842 at 25 °C"
Hexanoic acid,8892,116.16,37.3,1,2,"396 to 397 °F at 760 mmHg (NTP, 1992); 205.8 °C; 202.00 to 203.00 °C. @ 760.00 mm Hg; 205 °C; 205 °C; 205 °C @760 [mm Hg]","5 to 10 mg/mL at 72 °F (NTP, 1992); In water, 1.03X10+4 mg/L at 25 °C; Readily sol in ethanol, ether.; 10.3 mg/mL; Solubility in water, g/100ml at 20 °C: 1.1; miscible with  alcohol, most fixed oils, ether, 1 ml in 250 ml water; (in ethanol)",pKa = 4.88
Propan-1-amine,7852,59.11,26,1,1,"119.5 °F at 760 mmHg (USCG, 1999); 48-49 °C; 47.00 to 48.00 °C. @ 760.00 mm Hg; 48 °C; 48 °C","Very soluble in ethanol, acetone; soluble in benzene, chloroform; slightly soluble in carbon tetrachloride; In water, 1X10+6 mg/L at 25 °C; 1000 mg/mL at 20 °C; Solubility in water: miscible; Soluble in water; Soluble (in ethanol)",pKa = 10.71 (conjugate acid)
Butan-1-amine,8007,73.14,26,1,1,"172.4 °F at 760 mmHg (NTP, 1992); 78 °C; 77.00 to 78.00 °C. @ 760.00 mm Hg; 78 °C; 78 °C; 172 °F; 78 °C @760 [mm Hg]; 172 °F","Soluble (>=10 mg/ml) (NTP, 1992); Miscible with alcohol, ether; In water, 1X10+6 mg/L (miscible) at 25 °C; 1000 mg/mL at 20 °C; Solubility in water: miscible; Soluble in water; Soluble (in ethanol); Miscible",10.7; 10.8 (at 20 °C); pKa = 10.78 at 20 °C (conjugate acid)
Pentan-1-amine,8060,87.16,26,1,1,"219.9 °F at 760 mmHg (NTP, 1992); 103 °C","Very soluble (NTP, 1992); Soluble in water; Soluble (in ethanol)",10.6 (at 25 °C)
Hexan-1-amine,8102,101.19,26,1,1,132 °C; 131-132 °C; 130 °C,"In water, 12,000 mg/L at 20-25 °C; Miscibile in ethanol, ether; soluble in chloroform; 12 mg/mL at 25 °C; Solubility in water, g/100ml: 1.2; Soluble in water; Soluble (in ethanol)",pKa of the conjugate acid (C6H13-NH3+) = 10.64 at 25 °C; pKb = 3.44 at 25 °C
Propanenitrile,7854,55.08,23.8,0,1,"207 °F at 760 mmHg (EPA, 1998); 97.2 °C @ 760 mm Hg; 97 °C; 97.1 °C @760 [mm Hg]; 207 °F","50 to 100 mg/mL at 73 °F (NTP, 1992); Miscible with ether, alcohol; In water, 1.03X10+5 mg/l @ 25 °C.; Solubility in water, g/100ml at 20 °C: 10 (good); 11.9%",pKa = 33.54
Butanenitrile,8008,69.11,23.8,0,1,"244 °F at 760 mmHg (USCG, 1999); 117.5 °C @ 760 mm Hg; 116-118 °C; 117 °C @760 [mm Hg]; 244 °F","3 % at 77 °F (NIOSH, 2024); Miscible with alc, ether, dimethylformamide; Sol in benzene; In water, 33,000 mg/l at 25 °C.; Solubility in water, g/100ml at 25 °C: 3; (77 °F): 3%",
Pentanenitrile,8061,83.13,23.8,0,1,"282 to 286 °F at 760 mmHg (NTP, 1992); 141.00 to 142.00 °C. @ 760.00 mm Hg; 141.3 °C @760 [mm Hg]","1 to 5 mg/mL at 72.5 °F (NTP, 1992)",
Hexanenitrile,12352,97.16,23.8,0,1,163.6 °C @760 [mm Hg],,
Methyl ethanoate,6584,74.08,26.3,0,2,"134.4 °F at 760 mmHg (NTP, 1992); 56.7 °C; 57 °C; 56.9-57.5 °C; 135 °F; 57.8 °C @760 [mm Hg]; 135 °F","greater than or equal to 100 mg/mL at 70 °F (NTP, 1992); In water, 2.43X10+5 mg/L at 20 °C; Miscible with alcohol, ether; Very soluble in ethyl ether, ethanol; 243 mg/mL at 20 °C; Solubility in water, g/100ml at 20 °C: 24.4 (poor); miscible with alcohol, ether;  soluble in water; 1 ml in 10ml 50% alcohol (in ethanol); 25%",
Methyl propanoate,11124,88.11,26.3,0,2,"175.5 °F at 760 mmHg (NTP, 1992); 79.8 °C; 79.00 to 80.00 °C. @ 760.00 mm Hg; 80 °C; 79 °C","50 to 100 mg/mL at 72 °F (NTP, 1992); COMPLETELY MISCIBLE WITH PROPYLENE GLYCOL; Soluble in most organic solvents.; Soluble in acetone; miscible in ethanol, ethyl ether.; In water, 62,370 mg/l @ 25 °C; 62.4 mg/mL at 25 °C; Solubility in water, g/100ml at 25 °C:; miscible with alcohol, ether, propylene glycol;  soluble 1 ml in 16 ml water; (in ethanol)",
Methyl butanoate,12180,102.13,26.3,0,2,"216 °F at 760 mmHg (NTP, 1992); 102.8 °C @ 760 mm Hg; 102.00 to 103.00 °C. @ 760.00 mm Hg; 102-103 °C","10 to 50 mg/mL at 72 °F (NTP, 1992); Miscible in ethanol, ethyl ether; slightly soluble in carbon tetrachloride; In water, 1.5X10+4 mg/l @ 25 °C; 15 mg/mL at 25 °C; miscible with alcohol, ether;  soluble 1 ml in 60 ml water; (in ethanol)",
Methyl pentanoate,12206,116.16,26.3,0,2,"259.7 °F at 760 mmHg (NTP, 1992); 118.00 to 119.00 °C. @ 760.00 mm Hg; 126-127 °C","less than 1 mg/mL at 72 °F (NTP, 1992); 5.06 mg/mL at 25 °C; soluble in propylene glycol, alcohol, most fixed oils;  very slightly soluble in water; (in ethanol)",
Propan-2-one,180,58.08,17.1,0,1,"133 °F at 760 mmHg (NTP, 1992); 56.08 °C; 56.00 to 57.00 °C. @ 760.00 mm Hg; 56 °C; 56 °C; 133 °F; 56.05 °C @760 [mm Hg]; 133 °F","greater than or equal to 100 mg/mL at 72 °F (NTP, 1992); Miscible with water; Miscible with benzene; Miscible with alcohol, dimethylformamide, ether; 1000 mg/mL at 25 °C; Solubility in water: miscible; miscible with water, alcohol, ether, chroroform and most fixed oils; (in ethanol); Miscible",pKa = 20
Butan-2-one,6569,72.11,17.1,0,1,"175.3 °F at 760 mmHg (NTP, 1992); 79.59 °C; 78.60 to 80.00 °C. @ 760.00 mm Hg; 80 °C; 78.6-80 °C; 175 °F; 79.59 °C @760 [mm Hg]; 175 °F","greater than or equal to 100 mg/mL at 66 °F (NTP, 1992); Constant boiling mixture with water, BP 73.4 °C, contains 88.7% methyl ethyl ketone (MEK); Solubility of water in MEK is 12.5% at 25 °C; In water, 2.23X10+5 mg/L at 25 °C; In water, 3.13X10+5 mg/L at 10 °C; 2.11X10+5 mg/L at 25 °C; 1.6X10+5 mg/L at 90 °C; Soluble in benzene, alcohol, and ether; miscible with oils; Miscible with ethanol, ether, acetone, benzene, chloroform; 223.0 mg/mL; Solubility in water, g/100ml at 20 °C: 29 (good); miscible with alcohol, ether, most fixed oils; 1 ml in 4 ml water; (in ethanol); 28%",pKa = 14.70
Pentan-2-one,7895,86.13,17.1,0,1,"212 to 214 °F at 760 mmHg (NTP, 1992); 102.26 °C; 100.00 to 110.00 °C. @ 760.00 mm Hg; 102 °C; 102 °C; 215 °F; 102 °C @760 [mm Hg]; 215 °F","10 to 50 mg/mL at 72 °F (NTP, 1992); Slightly soluble in carbon tetrachloride; Miscible with alcohol and ether; In water, 4.3X10+4 mg/L at 25 °C; 43 mg/mL at 25 °C; Solubility in water, g/100ml at 20 °C: 4 (moderate); miscible with alcohol, ether, propylene glycol, oils; 1 ml in 25 ml water; (in ethanol); 6%",
Hexan-2-one,11583,100.16,17.1,0,1,"261 °F at 760 mmHg (NTP, 1992); 127.2 °C; 127.60 °C. @ 760.00 mm Hg; 126-128 °C; 262 °F; 127.2 °C @760 [mm Hg]; 262 °F","10 to 50 mg/mL at 72 °F (NTP, 1992); 1.4 wt% in water at 20 °C; Sol in acetone; miscible in ethanol and ether; In water, 1.72X10+4 mg/L at 20 °C; 17.5 mg/mL at 20 °C; Solubility in water, g/100ml at 20 °C: 1.4; 2%",
Propanamide,6578,73.09,43.1,1,1,,,
Butanamide,10927,87.12,43.1,1,1,216 °C; 216.00 to 217.00 °C. @ 760.00 mm Hg,"Sol in alcohol; slightly sol in ether; INSOL IN BENZENE; In water, 163,000 mg/l @ 15 °C; 163 mg/mL at 15 °C; Soluble in water; Soluble (in ethanol)",pKa = -0.43 (conjugate acid)
Pentanamide,12298,101.15,43.1,1,1,,,
Hexanamide,12332,115.17,43.1,1,1,"491 °F at 760 mmHg (NTP, 1992); 255 °C @ 760 mm Hg","0.1 to 1 mg/mL at 59 °F (NTP, 1992); Soluble in alcohol, ether, benzene, chloroform; SLIGHTLY SOL IN WATER",
1-Chloropropane,10899,78.54,0,0,0,"115 to 117 °F at 760 mmHg (USCG, 1999); 46.60 °C","In water, 2720 mg/L at 25 °C; Miscible with ethanol, ether; soluble in benzene, chloroform",
1-Chlorobutane,8005,92.57,0,0,0,"173.3 °F at 760 mmHg (NTP, 1992); 78.5 °C @ 760 mm Hg; 77-79 °C; 78.5 °C @760 [mm Hg]","less than 1 mg/mL at 59 °F (NTP, 1992); PRACTICALLY INSOL IN WATER (0.066% @ 12 °C); MISCIBLE WITH ALC, ETHER; Solubility in water, g/l at 25 °C: 0.87 (practically insoluble)",
1-Chloropentane,10977,106.59,0,0,0,"226 °F at 760 mmHg (USCG, 1999); 107.9 °C","In water, 197 mg/L at 25 °C; Insoluble in water; Miscible with alcohol, ether; Miscible with ethanol, ethyl ether; soluble in benzene, carbon tetrachloride; very soluble in chloroform",
1-Chlorohexane,10992,120.62,0,0,0,,,
