entity_type,target_type,layer,score
tpsa,regression,12,0.9601931147346365
tpsa,regression,13,0.9596169763484363
tpsa,regression,14,0.9635724480438768
tpsa,regression,15,0.9637803788909863
tpsa,regression,16,0.9757917139067963
tpsa,regression,17,0.9775446302605699
tpsa,regression,18,0.9761049658575537
tpsa,regression,19,0.9763727752197762
tpsa,regression,20,0.9740569889292294
tpsa,regression,21,0.9739711164547007
tpsa,regression,22,0.9751327347609896
tpsa,regression,23,0.9737442522286122
tpsa,regression,24,0.9719068713323022
tpsa,regression,25,0.9720703746291737
tpsa,regression,26,0.9694664533382717
tpsa,regression,27,0.970810591953281
tpsa,regression,28,0.9685633997399368
tpsa,regression,29,0.9667322967904264
tpsa,regression,30,0.9663434392044865
tpsa,regression,31,0.9536652833260693
avg_carbon_oxidation_state,regression,0,0.8898861437448261
avg_carbon_oxidation_state,regression,1,0.8734218283698493
avg_carbon_oxidation_state,regression,2,0.8722787733294199
avg_carbon_oxidation_state,regression,3,0.8670050777993181
avg_carbon_oxidation_state,regression,4,0.8751317473839212
avg_carbon_oxidation_state,regression,5,0.8698577698202644
avg_carbon_oxidation_state,regression,6,0.8712439524514262
avg_carbon_oxidation_state,regression,7,0.8313426708689328
avg_carbon_oxidation_state,regression,8,0.853308498598684
avg_carbon_oxidation_state,regression,9,0.8517465363805897
avg_carbon_oxidation_state,regression,10,0.8477397882818825
avg_carbon_oxidation_state,regression,11,0.8303918504648806
avg_carbon_oxidation_state,regression,12,0.8257983093751365
avg_carbon_oxidation_state,regression,13,0.8401755974865512
avg_carbon_oxidation_state,regression,14,0.8514704960965542
avg_carbon_oxidation_state,regression,15,0.8688615237653858
avg_carbon_oxidation_state,regression,16,0.8970183199390782
avg_carbon_oxidation_state,regression,17,0.9008969084524882
avg_carbon_oxidation_state,regression,18,0.9013932041832302
avg_carbon_oxidation_state,regression,19,0.892411766467496
avg_carbon_oxidation_state,regression,20,0.8958626883335412
avg_carbon_oxidation_state,regression,21,0.8960713509958479
avg_carbon_oxidation_state,regression,22,0.8950472222227017
avg_carbon_oxidation_state,regression,23,0.8960621342417896
avg_carbon_oxidation_state,regression,24,0.8920875233726082
avg_carbon_oxidation_state,regression,25,0.8886319558292106
avg_carbon_oxidation_state,regression,26,0.889722316850231
avg_carbon_oxidation_state,regression,27,0.8867609804821273
avg_carbon_oxidation_state,regression,28,0.8885492425561272
avg_carbon_oxidation_state,regression,29,0.8909995372980599
avg_carbon_oxidation_state,regression,30,0.8930656121724562
avg_carbon_oxidation_state,regression,31,0.8898415120480921
hbd,regression,0,0.9675820982202262
hbd,regression,1,0.9620427024089737
hbd,regression,2,0.9428963758538963
hbd,regression,3,0.9123594573060506
hbd,regression,4,0.9011968298054521
hbd,regression,5,0.8968011393550357
hbd,regression,6,0.8924397749901983
hbd,regression,7,0.9063421904271559
hbd,regression,8,0.9185478132198925
hbd,regression,9,0.9247554544286949
hbd,regression,10,0.9233174078857909
hbd,regression,11,0.9255766725777763
hbd,regression,12,0.9340439044701132
hbd,regression,13,0.9331144711108958
hbd,regression,14,0.9388458726893976
hbd,regression,15,0.9445105894428881
hbd,regression,16,0.9406319524045754
hbd,regression,17,0.9404070414495733
hbd,regression,18,0.9417621971165042
hbd,regression,19,0.9433945182915314
hbd,regression,20,0.9405209373202942
hbd,regression,21,0.9418086929913748
hbd,regression,22,0.9408640217418857
hbd,regression,23,0.9395285199254675
hbd,regression,24,0.9379871737106716
hbd,regression,25,0.9393492539191858
hbd,regression,26,0.9385165259783987
hbd,regression,27,0.935504211143542
hbd,regression,28,0.9353735458194613
hbd,regression,29,0.9338984747410504
hbd,regression,30,0.9347949780284317
hbd,regression,31,0.9205571931265901
hba,regression,0,0.9354316037289404
hba,regression,1,0.9446463493357464
hba,regression,2,0.9376417517074845
hba,regression,3,0.9138944601446646
hba,regression,4,0.9105409426660055
hba,regression,5,0.9043843989269306
hba,regression,6,0.9026902297576547
hba,regression,7,0.901840155820477
hba,regression,8,0.9091218882925791
hba,regression,9,0.9106574864246622
hba,regression,10,0.9089143623973122
hba,regression,11,0.9113019542919016
hba,regression,12,0.9189328724667363
hba,regression,13,0.9190669151477756
hba,regression,14,0.9320473701684749
hba,regression,15,0.9413361852665709
hba,regression,16,0.9493557316184184
hba,regression,17,0.9505500253088609
hba,regression,18,0.9487752021885107
hba,regression,19,0.9530640554822447
hba,regression,20,0.9516956576153455
hba,regression,21,0.9507027177551424
hba,regression,22,0.9476036556068526
hba,regression,23,0.9448698681332994
hba,regression,24,0.9458017204562964
hba,regression,25,0.9447725837464616
hba,regression,26,0.9459861322398849
hba,regression,27,0.9453046381121479
hba,regression,28,0.9466372524266529
hba,regression,29,0.946364148287403
hba,regression,30,0.9523485037358906
hba,regression,31,0.9488725739611338
boiling_point_c,regression,0,0.9194615507474106
boiling_point_c,regression,1,0.9364172526855332
boiling_point_c,regression,2,0.9223234460129965
boiling_point_c,regression,3,0.9082875448524745
boiling_point_c,regression,4,0.8977383301038447
boiling_point_c,regression,5,0.8860671639085644
boiling_point_c,regression,6,0.8697340784752573
boiling_point_c,regression,7,0.9097177665755793
boiling_point_c,regression,8,0.9207720911689389
boiling_point_c,regression,9,0.9058952133478057
boiling_point_c,regression,10,0.9183722368874527
boiling_point_c,regression,11,0.9184208525254792
boiling_point_c,regression,12,0.9153175760542241
boiling_point_c,regression,13,0.8894732686392366
boiling_point_c,regression,14,0.8735616220258222
boiling_point_c,regression,15,0.8855748836690995
boiling_point_c,regression,16,0.9141794358502905
boiling_point_c,regression,17,0.9174096580511909
boiling_point_c,regression,18,0.9096790126910772
boiling_point_c,regression,19,0.9163058694551456
boiling_point_c,regression,20,0.9049987304820878
boiling_point_c,regression,21,0.9026212312078122
boiling_point_c,regression,22,0.901421541553165
boiling_point_c,regression,23,0.8940026185613442
boiling_point_c,regression,24,0.89610640703612
boiling_point_c,regression,25,0.9014016307183557
boiling_point_c,regression,26,0.901437908909851
boiling_point_c,regression,27,0.8958719978241213
boiling_point_c,regression,28,0.8731434346934389
boiling_point_c,regression,29,0.8732090542748653
boiling_point_c,regression,30,0.8495968450906576
boiling_point_c,regression,31,0.81873230927549
water_solubility,classification,0,0.3386111111111111
water_solubility,classification,1,0.38499999999999995
water_solubility,classification,2,0.38833333333333336
water_solubility,classification,3,0.4227777777777778
water_solubility,classification,4,0.41194444444444445
water_solubility,classification,5,0.47027777777777785
water_solubility,classification,6,0.47222222222222215
water_solubility,classification,7,0.48583333333333334
water_solubility,classification,8,0.4772222222222222
water_solubility,classification,9,0.4936111111111111
water_solubility,classification,10,0.48694444444444446
water_solubility,classification,11,0.5322222222222223
water_solubility,classification,12,0.5363888888888888
water_solubility,classification,13,0.5394444444444445
water_solubility,classification,14,0.5161111111111112
water_solubility,classification,15,0.535
water_solubility,classification,16,0.5063888888888889
water_solubility,classification,17,0.5452777777777778
water_solubility,classification,18,0.5486111111111112
water_solubility,classification,19,0.5583333333333333
water_solubility,classification,20,0.5797222222222221
water_solubility,classification,21,0.5638888888888889
water_solubility,classification,22,0.5802777777777777
water_solubility,classification,23,0.5702777777777778
water_solubility,classification,24,0.5574999999999999
water_solubility,classification,25,0.558888888888889
water_solubility,classification,26,0.5525
water_solubility,classification,27,0.5502777777777778
water_solubility,classification,28,0.5566666666666666
water_solubility,classification,29,0.5519444444444443
water_solubility,classification,30,0.5394444444444444
water_solubility,classification,31,0.5469444444444445
